Origin,Destination,Date,Price ($),Num Stops,Connection,Duration (h),Time
SEA,LIH,2019-12-29,358,1,(LAX),9.58,1:15p - 8:50p
SEA,LIH,2019-12-29,363,1,(SFO),9.45,5:40a - 1:07p
SEA,LIH,2019-12-29,380,1,(SJC),0.28,8:40p - 11:40a
SEA,LIH,2019-12-29,384,1,(OAK),20.58,4:05p - 10:40a
SEA,LIH,2019-12-29,386,1,(PDX),0.30,11:15p - 3:15p
SEA,LIH,2019-12-29,393,1,(SFO),9.45,5:40a - 1:07p
SEA,LIH,2019-12-29,393,1,(PDX),0.33,9:15p - 3:15p
SEA,LIH,2019-12-29,397,2,"(SFO, HNL)",11.12,5:40a - 2:47p
SEA,LIH,2019-12-29,400,1,(SJC),0.28,8:40p - 11:40a
SEA,LIH,2019-12-29,403,1,(LAX),10.15,1:20p - 9:29p
SEA,LIH,2019-12-29,403,1,(LAX),10.32,5:50a - 2:09p
SEA,LIH,2019-12-29,403,1,(PHX),12.93,8:15a - 7:11p
SEA,LIH,2019-12-29,403,1,(PHX),12.57,5:00a - 3:34p
SEA,LIH,2019-12-30,268,1,(SFO),9.42,1:20p - 8:45p
SEA,LIH,2019-12-30,268,1,(LAX),9.58,1:15p - 8:50p
SEA,LIH,2019-12-30,268,1,(SFO),9.45,5:40a - 1:07p
SEA,LIH,2019-12-30,298,1,(SFO),9.42,1:20p - 8:45p
SEA,LIH,2019-12-30,298,1,(LAX),9.58,1:15p - 8:50p
SEA,LIH,2019-12-30,298,1,(SFO),9.45,5:40a - 1:07p
SEA,LIH,2019-12-30,302,2,"(SFO, HNL)",11.12,5:40a - 2:47p
SEA,LIH,2019-12-30,302,2,"(SFO, HNL)",11.12,5:40a - 2:47p
SEA,LIH,2019-12-30,302,2,"(LAX, HNL)",12.92,9:00a - 7:55p
SEA,LIH,2019-12-30,319,1,(PDX),0.30,11:15p - 3:15p
SEA,LIH,2019-12-30,325,1,(PDX),0.33,9:15p - 3:15p
SEA,LIH,2019-12-30,327,1,(PDX),20.75,8:30p - 3:15p
SEA,LIH,2019-12-30,333,1,(PDX),0.30,11:15p - 3:15p
SEA,LIH,2019-12-30,334,1,(OAK),0.28,9:40p - 12:40p
SEA,LIH,2019-12-30,339,1,(SJC),0.28,8:40p - 11:40a
SEA,LIH,2019-12-30,340,1,(PDX),0.33,9:15p - 3:15p
SEA,LIH,2019-12-30,341,1,(OAK),0.25,9:40p - 10:40a
SEA,LIH,2019-12-30,350,0,(),6.08,5:35p - 9:40p
SEA,LIH,2019-12-30,350,0,(),6.08,10:05a - 2:10p
SEA,LIH,2019-12-30,356,1,(SAN),18.75,8:15p - 1:00p
SEA,LIH,2019-12-31,259,0,(),6.08,5:35p - 9:40p
SEA,LIH,2019-12-31,259,1,(OGG),8.52,10:00a - 4:31p
SEA,LIH,2019-12-31,259,1,(OGG),8.52,10:00a - 4:31p
SEA,LIH,2019-12-31,268,1,(SFO),9.42,1:20p - 8:45p
SEA,LIH,2019-12-31,268,1,(LAX),9.58,1:15p - 8:50p
SEA,LIH,2019-12-31,268,1,(SFO),9.45,5:40a - 1:07p
SEA,LIH,2019-12-31,279,0,(),6.08,5:35p - 9:40p
SEA,LIH,2019-12-31,289,1,(PDX),25.50,3:45p - 3:15p
SEA,LIH,2019-12-31,290,1,(PDX),0.30,11:15p - 3:15p
SEA,LIH,2019-12-31,298,1,(SFO),9.42,1:20p - 8:45p
