Origin,Destination,Date,Price ($),Num Stops,Connection,Duration (h),Departure,Arrival,Carrier
LIH,OGG,2019-12-15,155,1,(HNL),1.77,1:50p,3:36p,Hawaiian Airlines
LIH,OGG,2019-12-15,155,1,(HNL),1.77,1:50p,3:36p,Hawaiian Airlines
LIH,OGG,2019-12-15,155,1,(HNL),1.85,4:59p,6:50p,Hawaiian Airlines
LIH,OGG,2019-12-15,155,1,(HNL),1.85,4:59p,6:50p,Hawaiian Airlines
LIH,OGG,2019-12-15,155,1,(HNL),1.85,7:00p,8:51p,Hawaiian Airlines
LIH,OGG,2019-12-15,155,1,(HNL),1.85,7:00p,8:51p,Hawaiian Airlines
LIH,OGG,2019-12-15,155,1,(HNL),1.88,6:35p,8:28p,Hawaiian Airlines
LIH,OGG,2019-12-15,155,1,(HNL),1.88,6:35p,8:28p,Hawaiian Airlines
LIH,OGG,2019-12-15,155,1,(HNL),1.80,6:32a,8:20a,Hawaiian Airlines
LIH,OGG,2019-12-15,155,1,(HNL),1.80,6:32a,8:20a,Hawaiian Airlines
LIH,OGG,2019-12-15,155,1,(HNL),2.00,4:15p,6:15p,Hawaiian Airlines
LIH,OGG,2019-12-15,155,1,(HNL),2.00,4:15p,6:15p,Hawaiian Airlines
LIH,OGG,2019-12-15,155,1,(HNL),2.10,3:15p,5:21p,Hawaiian Airlines
LIH,OGG,2019-12-15,155,1,(HNL),2.10,3:15p,5:21p,Hawaiian Airlines
LIH,ITO,2019-12-14,146,1,(HNL),2.13,12:11p,2:19p,Hawaiian Airlines
LIH,ITO,2019-12-14,146,1,(HNL),2.13,12:11p,2:19p,Hawaiian Airlines
LIH,ITO,2019-12-14,146,1,(HNL),1.95,7:19a,9:16a,Hawaiian Airlines
LIH,ITO,2019-12-14,146,1,(HNL),1.95,7:19a,9:16a,Hawaiian Airlines
LIH,ITO,2019-12-14,146,1,(HNL),2.30,5:35p,7:53p,Hawaiian Airlines
LIH,ITO,2019-12-14,146,1,(HNL),2.30,5:35p,7:53p,Hawaiian Airlines
LIH,ITO,2019-12-14,146,1,(HNL),2.33,4:15p,6:35p,Hawaiian Airlines
LIH,ITO,2019-12-14,146,1,(HNL),2.33,4:15p,6:35p,Hawaiian Airlines
LIH,ITO,2019-12-14,146,1,(HNL),2.40,8:47a,11:11a,Hawaiian Airlines
LIH,ITO,2019-12-14,146,1,(HNL),2.40,8:47a,11:11a,Hawaiian Airlines
LIH,ITO,2019-12-14,146,1,(HNL),2.65,1:50p,4:29p,Hawaiian Airlines
LIH,ITO,2019-12-14,146,1,(HNL),2.65,1:50p,4:29p,Hawaiian Airlines
